category,startup_count,total_revenue,median_revenue,startup_share,revenue_share,performance_index
E-commerce,12,11118400,36500.0,0.05240174672489083,0.4576339553989644,8.733181315530238
Content Creation,15,3348100,17000.0,0.06550218340611354,0.13780798011146142,2.103868496368311
SaaS,22,1852200,24500.0,0.09606986899563319,0.07623665385216954,0.7935542605521284
AI,23,1577200,31000.0,0.10043668122270742,0.06491763872996534,0.6463538812679158
Marketing,17,1554600,35000.0,0.07423580786026202,0.0639874214871951,0.8619482070922163
Education,13,735900,37000.0,0.056768558951965066,0.03028968446701845,0.5335644417651711
Entertainment,4,458000,33000.0,0.017467248908296942,0.01885130518534373,1.0792372218609285
Marketplace,8,454700,40500.0,0.034934497816593885,0.018715477003877278,0.5357305292359871
Analytics,9,370300,19000.0,0.039301310043668124,0.015241568362735332,0.3878132394518212
Security,3,359000,55000.0,0.013100436681222707,0.014776459741350214,1.1279364269230665
Health & Fitness,7,330000,13000.0,0.03056768558951965,0.013582818146645043,0.4443521936545307
Productivity,5,327700,20000.0,0.021834061135371178,0.013488150020168427,0.617757270923714
Social Media,10,252800,21500.0,0.043668122270742356,0.0104052619014299,0.23828049754274472
Mobile Apps,14,233400,12500.0,0.0611353711790393,0.00960675683462713,0.1571390939378295
OpenClaw (special),9,223300,14000.0,0.039301310043668124,0.009191040279229814,0.23386091377151413
Developer Tools,13,195200,9100.0,0.056768558951965066,0.008034442734015493,0.14152979892996523
Sales,7,142100,11000.0,0.03056768558951965,0.0058488438140553356,0.19134074763123884
Real Estate,4,119600,14500.0,0.017467248908296942,0.004922742576784082,0.2818270125208887
Design Tools,5,114500,12000.0,0.021834061135371178,0.004712826296335932,0.2158474443721857
Games,4,82700,17000.0,0.017467248908296942,0.0034039365476592276,0.19487536735349079
Travel,4,72800,13500.0,0.017467248908296942,0.0029964520032598765,0.17154687718662795
Community,4,71000,18500.0,0.017467248908296942,0.002922363904278176,0.1673053335199256
Customer Support,3,66900,21000.0,0.013100436681222707,0.0027536076788198588,0.21019205281658257
IoT & Hardware,1,55000,55000.0,0.004366812227074236,0.002263803024440841,0.5184108925969526
Legal,1,55000,55000.0,0.004366812227074236,0.002263803024440841,0.5184108925969526
Fintech,4,48600,12350.0,0.017467248908296942,0.0020003786725059066,0.11452167900096316
Recruiting & HR,4,46800,10250.0,0.017467248908296942,0.0019262905735242062,0.11028013533426081
Utilities,2,17100,8550.0,0.008733624454148471,0.0007038369403261522,0.08058932966734443
News & Magazines,1,7200,7200.0,0.004366812227074236,0.00029635239592680095,0.06786469866723742
No-Code,1,5300,5300.0,0.004366812227074236,0.00021814829144611736,0.04995595874116088
